x,y1,y2,y3,y4
-20.0,39.778572,-40.07859,-20.214268,-0.32491425
-19.9,39.604813,-39.784,-20.07095,-0.058819864
-19.8,40.09907,-40.018845,-19.906782,-0.4518296
-19.7,40.1511,-39.518402,-19.389118,-0.6120442
-19.6,39.795662,-39.360065,-19.81589,-0.3060756
-19.5,39.340855,-38.90581,-19.287113,-0.062154666
-19.4,39.25246,-39.12036,-19.683708,0.026392838
-19.3,38.590164,-38.62107,-19.494537,-0.2690418
-19.2,38.893463,-38.806778,-19.533716,0.08567329
-19.1,38.364567,-38.354656,-18.75372,-0.29954198
-19.0,38.13553,-37.795067,-19.363068,-0.553223
-18.9,37.825813,-37.984848,-18.528309,0.040018722
-18.8,37.672874,-37.855568,-18.92033,0.0705662
-18.7,37.99707,-37.64723,-18.858202,0.09534555
-18.6,37.38134,-37.436577,-18.457552,-0.3021374
-18.5,37.429653,-37.083054,-18.551897,-0.0018355072
-18.4,37.330147,-36.65041,-18.406178,0.34796613
-18.3,36.635334,-36.5591,-18.573486,0.08883932
-18.2,36.31057,-35.691395,-18.298632,-0.15387341
-18.1,36.379223,-35.42202,-17.694733,0.6145841
-18.0,36.74498,-35.771496,-18.15217,0.38540468
-17.9,35.609684,-35.880722,-18.224195,-0.20963566
-17.8,35.421272,-35.432663,-17.929127,-0.08499361
-17.7,35.902496,-35.311367,-17.453093,0.20769778
-17.6,35.009613,-35.05815,-18.051992,-0.14993647
-17.5,35.37503,-34.652325,-17.750078,-0.11715304
-17.4,34.673225,-34.403038,-17.254086,0.2630343
-17.3,34.73963,-34.438858,-17.680382,-0.3331845
-17.2,34.099274,-33.4363,-17.28941,-0.14619163
-17.1,34.380894,-33.81982,-17.085196,0.34196478
-17.0,33.614796,-33.146416,-16.69206,-0.113865964
-16.9,33.971043,-33.033516,-16.62859,-0.2902285
-16.8,33.07349,-33.12445,-16.603662,-0.6693005
-16.7,33.003006,-33.15249,-16.823805,-0.11059754
-16.6,32.82969,-32.514786,-16.207123,0.13672218
-16.5,32.27977,-33.125202,-16.162659,0.10311103
-16.4,32.51663,-32.68559,-16.269371,-0.011137535
